month,selected_date,target_day,day_used,usd_php,selection,source
2023-01,2023-01-20,20,20,54.6880,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2023-02,2023-02-20,20,20,55.2520,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2023-03,2023-03-20,20,20,54.6780,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2023-04,2023-04-20,20,20,56.0800,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2023-05,2023-05-19,20,19,55.9670,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2023-06,2023-06-20,20,20,55.8440,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2023-07,2023-07-20,20,20,54.5440,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2023-08,2023-08-18,20,18,56.6780,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2023-09,2023-09-20,20,20,56.7700,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2023-10,2023-10-20,20,20,56.8640,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2023-11,2023-11-20,20,20,55.6450,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2023-12,2023-12-20,20,20,55.9170,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2024-01,2024-01-19,20,19,55.8280,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2024-02,2024-02-20,20,20,56.0060,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2024-03,2024-03-20,20,20,55.7780,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2024-04,2024-04-19,20,19,57.0950,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2024-05,2024-05-20,20,20,57.6430,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2024-06,2024-06-20,20,20,58.6610,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2024-07,2024-07-19,20,19,58.2640,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2024-08,2024-08-20,20,20,56.8340,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2024-09,2024-09-20,20,20,55.7490,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2024-10,2024-10-18,20,18,57.7180,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2024-11,2024-11-20,20,20,58.6800,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2024-12,2024-12-20,20,20,58.9980,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2025-01,2025-01-20,20,20,58.5550,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2025-02,2025-02-20,20,20,58.1170,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2025-03,2025-03-20,20,20,57.2420,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2025-04,2025-04-16,20,16,56.9760,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2025-05,2025-05-20,20,20,55.7910,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2025-06,2025-06-20,20,20,57.3270,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2025-07,2025-07-18,20,18,57.1240,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2025-08,2025-08-20,20,20,57.1010,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2025-09,2025-09-19,20,19,57.0570,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2025-10,2025-10-20,20,20,58.1130,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2025-11,2025-11-20,20,20,58.8980,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2025-12,2025-12-19,20,19,58.6050,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2026-01,2026-01-20,20,20,59.3960,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2026-02,2026-02-20,20,20,57.9640,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2026-03,2026-03-19,20,19,59.5620,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2026-04,2026-04-20,20,20,60.0750,exact_20th,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
2026-05,2026-05-07,20,7,61.3770,nearest_prior_bsp_business_day,https://www.bsp.gov.ph/statistics/external/pesodollar.xlsx
